Dog Name,Count,Rank,Date
#REF!,14,112,07/13/2017 
#REF!,14,112,07/13/2017 
#REF!,14,112,07/13/2017 
#REF!,14,112,07/13/2017 
#REF!,14,112,07/13/2017 
#REF!,14,112,07/13/2017 
#REF!,14,112,07/13/2017 
#REF!,14,112,07/13/2017 
#REF!,14,112,07/13/2017 
#REF!,14,112,07/13/2017 
#REF!,14,112,07/13/2017 
#REF!,14,112,07/13/2017 
#REF!,13,126,07/13/2017 
#REF!,13,126,07/13/2017 
#REF!,13,126,07/13/2017 
#REF!,13,126,07/13/2017 
#REF!,13,126,07/13/2017 
#REF!,13,126,07/13/2017 
#REF!,13,126,07/13/2017 
#REF!,13,126,07/13/2017 
#REF!,13,126,07/13/2017 
#REF!,13,126,07/13/2017 
#REF!,13,126,07/13/2017 
#REF!,12,137,07/13/2017 
#REF!,12,137,07/13/2017 
#REF!,12,137,07/13/2017 
#REF!,12,137,07/13/2017 
#REF!,12,137,07/13/2017 
#REF!,12,137,07/13/2017 
#REF!,12,137,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,11,144,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,10,163,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,9,192,07/13/2017 
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,8,214,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,7,242,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,6,292,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,5,356,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,4,424,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
#REF!,3,555,07/13/2017 12:00:00 AM
